,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,137.28,78.05,86.63,90.91
Expenses +,144.75,118.66,74.17,71.28
Operating Profit,-7.47,-40.61,12.46,19.63
OPM %,-5.44%,-52.03%,14.38%,21.59%
Other Income +,2.33,17.42,5.17,5.12
Interest,8.50,9.66,10.11,9.34
Depreciation,6.40,7.14,6.01,6.17
Profit before tax,-20.04,-39.99,1.51,9.24
Tax %,20.61%,28.56%,29.14%,
Net Profit,-15.91,-28.58,1.06,6.72
EPS in Rs,-25.95,-46.61,1.73,10.96
