,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,"2,250","3,326","4,398","4,830","4,982","4,543","4,235","3,444","1,188"
Expenses +,"2,207","3,250","4,318","4,763","4,904","4,446","4,187","3,686","1,609"
Operating Profit,44,76,80,66,78,97,48,-241,-421
OPM %,2%,2%,2%,1%,2%,2%,1%,-7%,-35%
Other Income +,43,29,33,59,47,44,76,17,7
Interest,18,22,24,35,42,64,70,94,60
Depreciation,9,10,10,19,16,18,18,20,21
Profit before tax,61,74,79,72,67,59,37,-338,-494
Tax %,17%,21%,22%,12%,4%,16%,11%,120%,-86%
Net Profit,51,58,62,63,64,49,32,68,-922
EPS in Rs,3.95,4.13,3.67,3.74,3.80,2.92,1.93,4.02,-54.87
