,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,251,373,358,434,512,501
Expenses +,219,320,322,403,484,502
Operating Profit,32,53,36,32,28,-1
OPM %,13%,14%,10%,7%,6%,-0%
Other Income +,1,1,1,2,1,1
Interest,10,11,11,11,10,10
Depreciation,4,5,6,7,7,7
Profit before tax,19,38,20,16,12,-17
Tax %,-10%,28%,33%,34%,34%,
Net Profit,21,28,13,10,8,-12
EPS in Rs,4.48,5.94,2.85,2.20,1.77,-2.64
