,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,18,18,18
Reserves,270,215,183,190,198
Borrowings +,109,287,244,242,300
Other Liabilities +,153,178,185,201,259
Total Liabilities,550,698,630,651,776
Fixed Assets +,132,277,230,201,271
CWIP,2,1,1,1,3
Investments,0,0,0,0,0
Other Assets +,416,421,400,449,502
Total Assets,550,698,630,651,776
