,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,20,20
Reserves,134,173,199
Borrowings +,0,0,0
Other Liabilities +,15,24,19
Total Liabilities,169,216,238
Fixed Assets +,12,18,17
CWIP,0,0,0
Investments,56,39,48
Other Assets +,101,159,173
Total Assets,169,216,238
