,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10.18,10.18,10.18
Reserves,3.33,5.50,6.27
Borrowings +,0.66,0.45,0.13
Other Liabilities +,3.75,2.40,4.83
Total Liabilities,17.92,18.53,21.41
Fixed Assets +,2.73,2.69,2.62
CWIP,0.17,0.40,0.00
Investments,0.00,0.00,0.00
Other Assets +,15.02,15.44,18.79
Total Assets,17.92,18.53,21.41
