,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,323,362,421,703,770,829,558,483,474
Expenses +,289,301,306,532,573,618,"1,006",531,470
Operating Profit,34,61,115,171,197,211,-447,-48,4
OPM %,11%,17%,27%,24%,26%,25%,-80%,-10%,1%
Other Income +,3,9,3,2,20,43,102,-19,9
Interest,16,35,54,71,73,114,123,171,155
Depreciation,7,12,16,22,27,43,45,76,69
Profit before tax,15,23,48,80,117,97,-513,-314,-210
Tax %,39%,33%,36%,14%,24%,27%,2%,3%,1%
Net Profit,9,16,31,68,80,70,-504,-305,-207
EPS in Rs,,,,,13.42,10.65,-80.55,-51.32,-34.75
