,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,14,14,14,33,14,14,14,14,14,20,20
Reserves,189,212,231,230,234,246,208,177,115,132,112
Borrowings +,170,164,200,206,134,156,159,292,274,217,200
Other Liabilities +,224,267,282,210,349,477,397,240,267,297,257
Total Liabilities,597,656,727,652,730,893,777,723,670,666,589
Fixed Assets +,221,218,201,191,221,212,171,159,166,139,124
CWIP,0,0,2,26,1,2,3,14,0,0,0
Investments,1,1,1,1,14,0,0,0,0,0,0
Other Assets +,375,437,523,435,494,679,604,549,504,526,465
Total Assets,597,656,727,652,730,893,777,723,670,666,589
