,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,2.95,2.95,2.95,8.23,10.03,10.03,10.03
Reserves,3.65,4.61,5.71,2.14,5.25,5.76,6.43
Borrowings +,1.10,7.35,10.49,10.36,9.68,17.47,20.32
Other Liabilities +,2.23,7.00,8.90,14.20,10.99,9.89,14.38
Total Liabilities,9.93,21.91,28.05,34.93,35.95,43.15,51.16
Fixed Assets +,0.62,1.41,1.44,1.20,3.14,5.43,7.78
CWIP,0.22,0.22,0.22,0.27,0.01,0.00,0.00
Investments,0.00,0.21,0.21,0.21,0.32,0.06,0.06
Other Assets +,9.09,20.07,26.18,33.25,32.48,37.66,43.32
Total Assets,9.93,21.91,28.05,34.93,35.95,43.15,51.16
