,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,59,59,59,59
Reserves,"1,499","1,505","1,273","1,290"
Borrowings +,"1,298","1,321","1,179","1,383"
Other Liabilities +,471,521,569,431
Total Liabilities,"3,327","3,407","3,080","3,164"
Fixed Assets +,"1,564","1,662","1,053","1,450"
CWIP,73,0,0,-0
Investments,138,138,68,68
Other Assets +,"1,552","1,607","1,959","1,646"
Total Assets,"3,327","3,407","3,080","3,164"
