,Mar 2011,Mar 2022,Sep 2022
Share Capital +,12,12,12
Reserves,172,236,240
Borrowings +,92,38,35
Other Liabilities +,59,56,58
Total Liabilities,335,341,344
Fixed Assets +,140,147,142
CWIP,16,1,9
Investments,0,0,0
Other Assets +,178,193,193
Total Assets,335,341,344
