,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17.47,17.47,17.47,18.07,18.27,18.27,18.27,18.27,18.27,18.27
Reserves,-1.52,-0.62,1.55,20.06,25.85,18.67,-12.53,-12.53,-11.84,-2.31
Borrowings +,0.00,4.41,1.98,1.03,1.30,3.73,5.67,1.29,1.79,2.06
Other Liabilities +,0.23,3.23,3.67,7.33,10.45,10.61,5.87,7.43,9.29,19.74
Total Liabilities,16.18,24.49,24.67,46.49,55.87,51.28,17.28,14.46,17.51,37.76
Fixed Assets +,2.23,3.28,3.39,3.52,4.33,12.23,8.81,0.28,1.24,22.00
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,3.21,8.66,7.69,0.00
Investments,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets +,13.95,21.21,15.03,42.97,51.54,39.05,5.26,5.52,8.58,15.76
Total Assets,16.18,24.49,24.67,46.49,55.87,51.28,17.28,14.46,17.51,37.76
