,Mar 2017,Mar 2018
Sales +,54,62
Expenses +,42,49
Operating Profit,13,13
OPM %,23%,21%
Other Income +,2,5
Interest,0,0
Depreciation,3,3
Profit before tax,12,15
Tax %,25%,21%
Net Profit,9,12
EPS in Rs,18.33,23.60
