,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,199,199,249,224,224,202,202,202,202
Reserves,"2,554","2,442","2,730","2,610","2,993","2,858","3,230","3,656","4,102"
Borrowings +,83,0,0,0,0,0,30,12,9
Other Liabilities +,"28,397","16,386","16,366","16,540","17,633","17,883","21,679","25,904","24,711"
Total Liabilities,"31,233","19,028","19,345","19,374","20,850","20,943","25,140","29,773","29,024"
Fixed Assets +,266,368,546,705,810,836,807,965,946
CWIP,40,170,98,85,89,80,80,87,98
Investments,299,324,376,429,431,484,519,542,570
Other Assets +,"30,629","18,166","18,324","18,154","19,520","19,542","23,735","28,179","27,410"
Total Assets,"31,233","19,028","19,345","19,374","20,850","20,943","25,140","29,773","29,024"
