,Mar 2013,Mar 2014,Mar 2016,Mar 2017
Share Capital +,24,24,24,24
Reserves,405,41,-542,-861
Borrowings +,684,"1,286","1,490","1,503"
Other Liabilities +,890,61,179,329
Total Liabilities,"2,003","1,413","1,151",994
Fixed Assets +,122,103,54,8
CWIP,0,0,0,0
Investments,0,0,0,0
Other Assets +,"1,880","1,311","1,096",987
Total Assets,"2,003","1,413","1,151",994
