,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,40,40,44,44,44
Reserves,440,502,699,514,-184
Borrowings +,33,218,916,812,543
Other Liabilities +,260,366,390,416,362
Total Liabilities,773,"1,126","2,049","1,786",764
Fixed Assets +,318,420,834,698,412
CWIP,3,55,6,0,0
Investments,9,7,0,0,0
Other Assets +,442,644,"1,210","1,088",353
Total Assets,773,"1,126","2,049","1,786",764
