,Mar 2015,Mar 2016
Share Capital +,7,7
Reserves,64,78
Borrowings +,24,31
Other Liabilities +,51,39
Total Liabilities,146,155
Fixed Assets +,55,56
CWIP,2,4
Investments,18,22
Other Assets +,71,72
Total Assets,146,155
