,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,42,42,42,42,42,42,42,42,42,42,42,42,42
Reserves,"2,101","2,134","2,038","2,039","2,035","2,088","2,141","2,159","2,146","2,211","2,173","2,315","2,174"
Borrowings +,821,962,"1,263",958,645,569,438,446,404,341,752,832,646
Other Liabilities +,"1,298","1,819","1,879","1,790","1,921","1,722","2,137","2,097","2,495","2,570","2,877","2,624","2,179"
Total Liabilities,"4,262","4,957","5,222","4,828","4,643","4,420","4,757","4,744","5,086","5,163","5,843","5,813","5,041"
Fixed Assets +,401,540,546,513,482,557,583,595,631,621,601,621,614
CWIP,80,24,142,173,192,104,79,68,25,15,14,14,8
Investments,5,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,"3,776","4,393","4,534","4,142","3,969","3,759","4,094","4,081","4,430","4,527","5,228","5,178","4,419"
Total Assets,"4,262","4,957","5,222","4,828","4,643","4,420","4,757","4,744","5,086","5,163","5,843","5,813","5,041"
