,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,10,10,11
Reserves,16,13,15,27
Borrowings +,17,36,41,46
Other Liabilities +,13,21,26,21
Total Liabilities,51,81,92,105
Fixed Assets +,7,18,20,22
CWIP,1,0,0,2
Investments,0,0,1,1
Other Assets +,43,63,70,81
Total Assets,51,81,92,105
