,Mar 2016,Mar 2017,Mar 2018,Mar 2022,TTM
Sales +,308,263,270,398,408
Expenses +,465,328,262,352,370
Operating Profit,-157,-65,8,45,38
OPM %,-51%,-25%,3%,11%,9%
Other Income +,13,-246,-20,24,14
Interest,19,16,7,57,59
Depreciation,36,36,35,32,30
Profit before tax,-200,-363,-53,-20,-38
Tax %,-0%,-0%,-1%,-2%,
Net Profit,-214,-373,-50,-20,-38
EPS in Rs,-42.42,-68.81,-9.31,-3.70,-6.94
