,Mar 2011,Mar 2012,Mar 2013,Mar 2015
Share Capital +,63,63,63,63
Reserves,142,156,88,-210
Borrowings +,157,198,238,95
Other Liabilities +,82,93,124,197
Total Liabilities,444,509,512,145
Fixed Assets +,48,115,100,46
CWIP,56,0,0,0
Investments,0,0,0,0
Other Assets +,340,394,413,99
Total Assets,444,509,512,145
