,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,760,760,760,"1,420","1,864","1,204","1,204","1,204",356,356,356,356,356
Reserves,"-3,435","-3,840","-4,321","-4,586","-5,149","-5,461","-6,002","-6,098","-5,107","-4,959","-5,069","-4,536","-4,605"
Borrowings +,"1,384","1,538","1,686","1,313","1,545",323,"4,401","4,514","4,344","4,376","4,405","3,753","3,724"
Other Liabilities +,"1,937","2,222","2,518","3,204","3,073","4,770","1,094","1,027","1,155",976,"1,009","1,087","1,143"
Total Liabilities,647,680,643,691,673,836,697,647,748,748,700,660,618
Fixed Assets +,146,137,125,112,94,88,76,66,59,66,60,53,50
CWIP,6,0,13,13,13,7,9,11,15,7,6,7,7
Investments,2,2,2,1,1,1,1,1,0,0,0,0,0
Other Assets +,493,540,503,565,565,740,611,569,673,675,635,600,560
Total Assets,647,680,643,691,673,836,697,647,748,748,700,660,618
