,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,27,27,41,41,41,41,41,41,41,41,41,41,41
Reserves,9,12,11,12,21,40,73,76,80,86,98,137,155
Borrowings +,47,103,125,129,146,211,256,277,378,387,296,299,304
Other Liabilities +,38,18,74,129,179,201,235,282,226,234,255,377,432
Total Liabilities,121,161,251,311,386,492,604,676,725,748,689,854,932
Fixed Assets +,3,3,4,5,5,5,13,27,11,20,20,21,21
CWIP,-0,-0,5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Investments,2,2,0,6,1,5,0,0,0,0,0,0,0
Other Assets +,117,156,242,300,380,482,591,648,715,728,668,834,912
Total Assets,121,161,251,311,386,492,604,676,725,748,689,854,932
