,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,23,23,22,22,22,22,22,22,22,22,22,22,22
Reserves,606,704,234,271,367,507,693,829,953,"1,068","1,245","1,535","1,689"
Borrowings +,566,"1,048",542,580,514,474,611,575,532,295,165,236,251
Other Liabilities +,393,413,138,150,164,171,257,296,304,274,379,437,423
Total Liabilities,"1,587","2,187",936,"1,024","1,067","1,175","1,584","1,723","1,811","1,660","1,811","2,230","2,385"
Fixed Assets +,426,413,273,316,246,250,312,655,843,785,762,776,759
CWIP,297,746,47,24,33,102,299,126,27,16,28,177,264
Investments,6,9,8,3,0,6,-0,0,0,0,111,0,0
Other Assets +,858,"1,020",608,680,788,816,972,942,941,859,910,"1,277","1,362"
Total Assets,"1,587","2,187",936,"1,024","1,067","1,175","1,584","1,723","1,811","1,660","1,811","2,230","2,385"
