,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,32,11,11,11,11,11,11,11,11,11
Reserves,-134,28,32,30,28,30,32,33,31,3
Borrowings +,390,41,29,35,36,35,35,7,0,0
Other Liabilities +,370,97,128,134,138,217,245,78,146,157
Total Liabilities,657,177,200,210,213,294,324,130,188,172
Fixed Assets +,499,41,40,39,37,27,23,21,19,8
CWIP,19,18,0,0,2,0,0,0,0,0
Investments,16,4,3,3,3,1,1,1,1,5
Other Assets +,124,114,158,168,171,266,299,108,168,158
Total Assets,657,177,200,210,213,294,324,130,188,172
