,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Jun 2022
Share Capital +,17,35,35,35,35,35,35,35,35,35,35,35,35
Reserves,376,391,433,477,522,568,625,676,723,794,856,976,"1,021"
Borrowings +,14,63,17,3,24,1,7,13,43,60,62,3,32
Other Liabilities +,230,257,269,284,332,347,321,354,449,547,588,596,567
Total Liabilities,637,746,754,799,914,951,988,"1,077","1,250","1,436","1,540","1,609","1,655"
Fixed Assets +,151,153,158,181,191,194,219,308,321,307,318,311,330
CWIP,9,7,27,8,10,14,16,4,4,34,25,39,16
Investments,33,38,43,48,50,51,54,58,60,64,66,70,70
Other Assets +,443,548,526,561,663,691,699,707,865,"1,030","1,130","1,190","1,239"
Total Assets,637,746,754,799,914,951,988,"1,077","1,250","1,436","1,540","1,609","1,655"
