,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,19,19,19,19,19,19
Reserves,980,"1,125","2,421","2,033","1,692","3,279","4,019","4,090"
Borrowings +,10,0,0,0,0,0,0,0
Other Liabilities +,149,174,120,135,213,294,345,374
Total Liabilities,"1,159","1,318","2,559","2,187","1,924","3,591","4,382","4,483"
Fixed Assets +,65,73,14,14,14,15,16,16
CWIP,3,3,0,0,0,0,0,0
Investments,667,770,"2,499","2,086","1,777","3,424","4,177","4,215"
Other Assets +,424,472,46,87,133,153,189,253
Total Assets,"1,159","1,318","2,559","2,187","1,924","3,591","4,382","4,483"
