,Mar 2011,Mar 2012,Mar 2013,TTM
Sales +,317,290,50,1
Expenses +,287,259,73,43
Operating Profit,30,31,-23,-42
OPM %,10%,11%,-45%,"-5,997%"
Other Income +,4,3,-1,0
Interest,12,27,29,0
Depreciation,5,10,16,38
Profit before tax,18,-4,-68,-79
Tax %,25%,-20%,-11%,
Net Profit,14,-4,-75,-79
EPS in Rs,0.22,-0.69,-11.98,-12.63
