,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,9.52,9.52,9.52,14.52,14.52,18.42,19.52,10.42,10.42
Reserves,32.61,32.75,25.81,10.66,-5.85,-19.39,-48.79,-48.11,-51.23
Borrowings +,8.41,45.92,55.83,39.35,49.42,39.46,25.93,26.63,28.68
Other Liabilities +,19.02,14.99,25.24,29.03,30.64,48.64,43.27,23.83,21.74
Total Liabilities,69.56,103.18,116.40,88.56,83.73,78.66,30.83,12.77,9.61
Fixed Assets +,15.68,16.60,49.30,46.20,42.17,34.78,5.88,5.27,4.11
CWIP,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,1.05,0.05,0.29,0.37,0.38,0.38,0.08,0.02,0.07
Other Assets +,52.51,86.53,66.81,41.99,41.18,43.50,24.87,7.48,5.43
Total Assets,69.56,103.18,116.40,88.56,83.73,78.66,30.83,12.77,9.61
