,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,6,6,6,6,7,7,7,7,8,8
Reserves,60,72,86,100,122,138,155,246,301,308,309,441,465
Borrowings +,84,113,105,114,172,190,248,268,310,357,354,264,275
Other Liabilities +,76,122,122,139,177,182,176,260,256,230,236,289,330
Total Liabilities,225,311,319,359,476,516,585,781,874,901,907,"1,002","1,078"
Fixed Assets +,121,138,142,146,180,234,258,293,337,370,366,388,400
CWIP,1,2,1,1,25,2,12,5,21,23,28,26,23
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,104,171,176,212,271,280,315,483,516,508,513,588,656
Total Assets,225,311,319,359,476,516,585,781,874,901,907,"1,002","1,078"
