,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,17,16,8,8,8,8,8
Reserves,350,329,108,104,111,115,92
Borrowings +,1,1,65,68,76,97,51
Other Liabilities +,12,15,33,44,49,51,47
Total Liabilities,380,360,214,223,244,272,198
Fixed Assets +,40,64,41,40,39,37,29
CWIP,3,2,0,0,0,0,0
Investments,288,226,70,56,49,53,14
Other Assets +,50,68,103,127,156,182,155
Total Assets,380,360,214,223,244,272,198
