,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,19,1,1,2,0,16,7,57
Expenses +,17,1,3,2,8,10,8,85
Operating Profit,2,0,-2,0,-8,6,-1,-29
OPM %,9%,6%,-322%,3%,,38%,-18%,-50%
Other Income +,7,0,1,0,1,2,3,6
Interest,4,2,1,1,1,2,2,4
Depreciation,2,0,1,1,1,1,1,5
Profit before tax,3,-1,-2,-1,-9,5,-1,-32
Tax %,43%,-11%,0%,-13%,23%,53%,137%,
Net Profit,6,4,-1,-1,-7,2,0,-24
EPS in Rs,16.86,11.87,-1.57,-3.72,-18.73,6.12,0.99,-66.09
