,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,36,36,36,33,33,33,33,33,32,32,32,32,32
Reserves,-33,29,102,142,196,266,370,419,401,498,605,824,858
Borrowings +,59,17,1,19,13,1,0,0,0,1,4,2,1
Other Liabilities +,310,242,263,302,333,278,242,303,311,295,307,493,522
Total Liabilities,346,322,399,496,575,578,646,755,744,826,948,"1,352","1,412"
Fixed Assets +,121,127,119,111,155,132,232,226,254,246,248,247,266
CWIP,0,0,0,19,6,33,10,39,5,7,1,3,3
Investments,0,10,5,0,23,20,17,20,19,152,296,478,477
Other Assets +,225,185,275,365,391,393,386,472,466,420,403,624,666
Total Assets,346,322,399,496,575,578,646,755,744,826,948,"1,352","1,412"
