,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13.30,28.79,28.79,28.79,28.79,28.79,28.79
Reserves,79.08,114.36,123.28,133.46,146.40,142.35,145.69
Borrowings +,0.00,0.00,0.00,6.11,0.00,0.00,0.45
Other Liabilities +,25.39,23.18,8.70,7.81,7.24,6.41,14.07
Total Liabilities,117.77,166.33,160.77,176.17,182.43,177.55,189.00
Fixed Assets +,38.80,84.50,80.59,78.50,95.63,84.25,90.47
CWIP,0.02,0.10,10.91,12.21,5.88,9.71,10.31
Investments,0.07,0.01,0.00,0.00,0.00,0.00,0.00
Other Assets +,78.88,81.72,69.27,85.46,80.92,83.59,88.22
Total Assets,117.77,166.33,160.77,176.17,182.43,177.55,189.00
