,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,79,105,176,204
Expenses +,73,97,168,191
Operating Profit,6,8,8,13
OPM %,7%,8%,5%,6%
Other Income +,0,0,2,2
Interest,2,3,4,3
Depreciation,1,1,2,3
Profit before tax,3,4,4,9
Tax %,28%,29%,27%,
Net Profit,2,3,3,7
EPS in Rs,1.76,2.23,2.30,5.20
