,Mar 2006,Mar 2007,Mar 2008,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,19,24,24,24,24,24,24,24
Reserves,98,107,113,478,548,588,604,614,735,814
Borrowings +,107,112,113,156,283,357,288,140,78,82
Other Liabilities +,51,62,63,106,146,147,344,392,586,661
Total Liabilities,274,300,308,764,"1,002","1,115","1,260","1,170","1,423","1,581"
Fixed Assets +,111,118,124,354,357,409,585,568,598,616
CWIP,13,18,30,2,25,5,11,8,16,18
Investments,6,2,6,1,1,1,1,2,2,2
Other Assets +,145,163,148,408,619,701,663,592,807,945
Total Assets,274,300,308,764,"1,002","1,115","1,260","1,170","1,423","1,581"
