,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,100,119,103,175,210
Expenses +,93,108,91,148,166
Operating Profit,7,10,12,27,44
OPM %,7%,9%,12%,15%,21%
Other Income +,0,0,0,1,0
Interest,4,4,4,4,4
Depreciation,4,5,5,6,6
Profit before tax,-1,1,3,18,35
Tax %,-53%,-69%,8%,11%,
Net Profit,-1,2,2,16,29
EPS in Rs,-0.20,0.35,0.35,2.27,4.06
