,Mar 2010,Mar 2011,Mar 2012
Share Capital +,54,54,54
Reserves,69,79,70
Borrowings +,188,182,189
Other Liabilities +,253,242,252
Total Liabilities,562,556,564
Fixed Assets +,45,40,35
CWIP,1,0,0
Investments,-0,0,0
Other Assets +,516,516,528
Total Assets,562,556,564
