,Mar 2010,Mar 2011,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,52,53,70,70,69,70,67,65,65,62,84,84
Reserves,63,41,54,464,603,670,798,912,934,"1,223","1,202","3,403","3,415"
Borrowings +,0,0,0,0,0,0,0,0,4,76,63,55,54
Other Liabilities +,60,96,142,231,291,309,398,431,546,468,459,491,526
Total Liabilities,123,189,248,765,965,"1,048","1,265","1,410","1,549","1,832","1,786","4,033","4,079"
Fixed Assets +,19,27,35,53,92,139,156,149,126,172,138,134,165
CWIP,0,0,1,1,0,9,9,0,6,0,0,0,0
Investments,78,116,157,626,772,795,964,"1,143","1,291","1,552","1,511","3,798","3,804"
Other Assets +,26,46,55,85,100,105,136,119,126,108,137,102,110
Total Assets,123,189,248,765,965,"1,048","1,265","1,410","1,549","1,832","1,786","4,033","4,079"
