,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,137,145,217,497,577,756
Expenses +,134,139,209,476,546,734
Operating Profit,3,5,8,21,30,22
OPM %,2%,4%,4%,4%,5%,3%
Other Income +,1,0,1,1,3,5
Interest,2,3,6,15,21,21
Depreciation,0,0,1,3,6,6
Profit before tax,2,2,2,4,7,0
Tax %,37%,36%,98%,60%,65%,688%
Net Profit,1,1,0,1,2,-1
EPS in Rs,0.48,0.54,0.03,0.52,0.88,-0.36
