,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,292","1,179","1,374","1,411"
Expenses +,983,866,"1,004","1,040"
Operating Profit,309,314,369,372
OPM %,24%,27%,27%,26%
Other Income +,25,11,34,33
Interest,103,80,65,55
Depreciation,133,131,128,114
Profit before tax,98,113,210,235
Tax %,-6%,17%,-7%,
Net Profit,104,94,224,251
EPS in Rs,5.11,4.69,4.48,4.99
