,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,13,13,13,15,15,15,15,15,15,24,24
Reserves,289,342,405,551,638,735,837,834,489,42,"-1,127"
Borrowings +,91,283,482,687,"1,030","1,091","1,493","2,347","2,810","3,197","3,809"
Other Liabilities +,217,352,551,405,544,688,722,799,873,557,898
Total Liabilities,611,991,"1,452","1,657","2,226","2,529","3,067","3,994","4,187","3,819","3,605"
Fixed Assets +,40,61,110,102,154,176,218,201,168,463,100
CWIP,0,0,2,3,17,35,331,476,544,276,267
Investments,48,48,25,46,51,47,23,24,19,19,68
Other Assets +,523,881,"1,315","1,507","2,005","2,271","2,495","3,293","3,456","3,061","3,169"
Total Assets,611,991,"1,452","1,657","2,226","2,529","3,067","3,994","4,187","3,819","3,605"
