,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,24,22,22,22,22,22,22,22,21,21,21
Reserves,227,243,254,289,344,424,515,628,717,790,950,"1,015"
Borrowings +,140,110,71,40,45,86,138,108,133,102,80,98
Other Liabilities +,182,185,253,349,412,309,310,319,319,406,365,347
Total Liabilities,573,563,599,699,822,842,985,"1,078","1,191","1,319","1,415","1,480"
Fixed Assets +,167,154,153,166,199,203,221,227,244,247,240,240
CWIP,3,0,7,7,0,0,-0,-0,-0,-0,-0,0
Investments,9,9,9,9,9,111,244,330,376,467,521,510
Other Assets +,394,399,430,517,613,528,519,521,570,605,654,730
Total Assets,573,563,599,699,822,842,985,"1,078","1,191","1,319","1,415","1,480"
