,Mar 2015
Share Capital +,18
Reserves,469
Borrowings +,170
Other Liabilities +,371
Total Liabilities,"1,028"
Fixed Assets +,288
CWIP,0
Investments,0
Other Assets +,740
Total Assets,"1,028"
