,Mar 2013,Mar 2014,Mar 2015
Share Capital +,22,22,22
Reserves,141,187,121
Borrowings +,159,225,277
Other Liabilities +,105,195,209
Total Liabilities,428,629,630
Fixed Assets +,113,101,90
CWIP,0,0,0
Investments,2,4,4
Other Assets +,313,524,536
Total Assets,428,629,630
