,Mar 2009,Mar 2010,Mar 2016
Sales +,50.18,53.77,98.07
Expenses +,43.50,46.39,85.37
Operating Profit,6.68,7.38,12.70
OPM %,13.31%,13.73%,12.95%
Other Income +,1.90,1.87,1.45
Interest,4.00,4.38,8.97
Depreciation,2.77,2.93,3.24
Profit before tax,1.81,1.94,1.94
Tax %,13.81%,31.44%,34.54%
Net Profit,1.56,1.33,1.27
EPS in Rs,,0.81,0.74
