,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,361,384,384,385,385,385,385
Reserves,"3,412","6,687","6,556","5,487",-280,"-6,379","-8,992"
Borrowings +,"2,596","2,254","2,429","22,719","29,860","36,878","40,945"
Other Liabilities +,"8,840","11,804","15,657","13,510","13,087","15,079","18,202"
Total Liabilities,"15,210","21,129","25,026","42,101","43,051","45,963","50,541"
Fixed Assets +,"3,794","4,579","5,662","16,779","18,817","21,284","23,299"
CWIP,25,32,24,140,72,125,10
Investments,"3,713","6,344","6,517","9,499","7,339","8,106","8,188"
Other Assets +,"7,677","10,174","12,824","15,682","16,823","16,447","19,044"
Total Assets,"15,210","21,129","25,026","42,101","43,051","45,963","50,541"
