,Mar 2006,Mar 2007,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,592,806,"1,845","1,924","2,281","2,728","2,970"
Expenses +,510,652,"1,423","1,617","1,900","2,177","2,293"
Operating Profit,82,154,421,307,381,550,676
OPM %,14%,19%,23%,16%,17%,20%,23%
Other Income +,24,29,25,39,21,95,138
Interest,24,33,78,71,80,137,137
Depreciation,27,33,139,131,160,208,151
Profit before tax,56,117,230,143,163,300,527
Tax %,32%,34%,31%,25%,29%,19%,28%
Net Profit,38,77,159,108,115,244,380
EPS in Rs,,,28.00,18.83,20.32,42.85,66.92
