,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,75,78,100,100,100
Reserves,432,515,"1,473","1,627","1,693"
Borrowings +,670,819,423,836,883
Other Liabilities +,170,280,301,327,520
Total Liabilities,"1,323","1,664","2,298","2,891","3,197"
Fixed Assets +,681,977,"1,115","1,202","1,405"
CWIP,191,101,43,44,58
Investments,0,0,0,149,48
Other Assets +,451,586,"1,140","1,496","1,687"
Total Assets,"1,323","1,664","2,298","2,891","3,197"
