,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,17,17,17
Reserves,"3,318","3,638","4,193","4,535","4,972"
Borrowings +,58,84,92,126,122
Other Liabilities +,"1,102","1,261","1,495","1,698","1,834"
Total Liabilities,"4,496","5,000","5,797","6,376","6,945"
Fixed Assets +,"1,813","1,829","2,455","2,492","2,740"
CWIP,315,827,399,830,694
Investments,20,156,280,77,469
Other Assets +,"2,348","2,189","2,663","2,977","3,042"
Total Assets,"4,496","5,000","5,797","6,376","6,945"
