,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Share Capital +,23,20,20,20,50,50
Reserves,128,61,54,-44,4,-41
Borrowings +,10,67,100,104,63,21
Other Liabilities +,57,61,51,102,105,90
Total Liabilities,218,208,225,182,222,120
Fixed Assets +,51,89,97,80,92,22
CWIP,1,0,0,0,1,1
Investments,38,9,15,0,22,15
Other Assets +,129,110,113,102,107,82
Total Assets,218,208,225,182,222,120
