,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,27,27,27,27,30,30
Reserves,"2,147","2,253","2,300","2,132","2,497","2,526"
Borrowings +,849,852,"1,912","1,708","2,807","2,607"
Other Liabilities +,"1,680","1,913","1,946","2,315","7,269","7,662"
Total Liabilities,"4,676","5,045","6,185","6,182","12,599","12,824"
Fixed Assets +,"2,976","3,140","3,983","4,078","9,934","10,360"
CWIP,5,55,7,5,9,10
Investments,128,290,94,240,495,168
Other Assets +,"1,567","1,561","2,100","1,859","2,161","2,286"
Total Assets,"4,676","5,045","6,185","6,182","12,599","12,824"
