,Mar 2010,Mar 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,17,17,17,17,17,17,17,17,17,17,17
Reserves,141,197,234,250,264,288,322,350,378,403,413,424,441
Borrowings +,173,92,89,89,98,96,77,98,200,225,215,280,309
Other Liabilities +,72,83,100,104,108,115,130,174,187,133,195,242,266
Total Liabilities,403,390,441,460,487,517,546,639,782,779,840,963,"1,033"
Fixed Assets +,129,171,198,250,254,275,271,264,318,304,455,467,463
CWIP,100,1,48,6,12,10,12,48,103,166,14,13,15
Investments,0,0,0,0,0,0,0,1,0,0,0,0,7
Other Assets +,175,218,195,204,221,232,262,326,360,309,371,482,547
Total Assets,403,390,441,460,487,517,546,639,782,779,840,963,"1,033"
