,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,43,43,35,35,39
Reserves,41,57,72,117,326
Borrowings +,21,34,51,67,31
Other Liabilities +,23,32,33,41,45
Total Liabilities,120,159,192,260,441
Fixed Assets +,62,62,125,117,171
CWIP,22,40,4,43,14
Investments,0,0,14,0,0
Other Assets +,36,56,49,100,257
Total Assets,120,159,192,260,441
