,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,591","1,637","1,874","1,790","1,359","2,438","2,811"
Expenses +,"1,418","1,513","1,714","1,629","1,237","2,130","2,454"
Operating Profit,174,125,159,162,122,307,357
OPM %,11%,8%,8%,9%,9%,13%,13%
Other Income +,23,25,9,8,10,-5,-6
Interest,64,63,67,69,49,48,55
Depreciation,73,77,81,81,81,70,73
Profit before tax,61,10,21,20,2,184,222
Tax %,13%,-186%,37%,34%,-113%,24%,
Net Profit,53,29,13,13,4,140,180
EPS in Rs,13.43,7.26,3.36,3.37,0.97,32.23,41.21
