,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,33,33,33,33,33,33,33,33,33,28,28,27,27
Reserves,524,629,635,641,697,772,643,678,784,"1,479","1,597","1,462","1,592"
Borrowings +,366,109,153,128,155,195,177,178,207,166,58,25,28
Other Liabilities +,526,387,388,319,284,337,517,492,440,365,468,593,532
Total Liabilities,"1,448","1,158","1,208","1,121","1,168","1,337","1,370","1,382","1,465","2,039","2,151","2,107","2,179"
Fixed Assets +,480,228,220,185,110,107,194,219,228,357,310,371,392
CWIP,59,18,12,18,4,2,15,28,53,20,5,6,1
Investments,164,195,236,290,526,582,586,604,2,844,859,722,772
Other Assets +,745,717,739,628,527,646,575,531,"1,182",818,978,"1,008","1,014"
Total Assets,"1,448","1,158","1,208","1,121","1,168","1,337","1,370","1,382","1,465","2,039","2,151","2,107","2,179"
