,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Sales +,97,152,201,323,221,123,32
Expenses +,62,92,123,237,169,199,215
Operating Profit,35,60,78,86,53,-75,-183
OPM %,36%,40%,39%,27%,24%,-61%,-580%
Other Income +,3,0,0,19,4,19,20
Interest,8,10,12,14,19,15,20
Depreciation,9,15,30,42,28,35,34
Profit before tax,21,35,36,49,10,-106,-218
Tax %,9%,-1%,7%,8%,65%,-0%,4%
Net Profit,19,36,33,45,3,-126,-210
EPS in Rs,,,8.60,11.54,0.65,-32.39,-53.94
