,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,39,39,39,39,39,42,42,42,42,42,42,42,42
Reserves,807,855,848,757,750,837,988,"1,373","1,590","1,692","1,751","1,826","2,038"
Borrowings +,849,"1,098","1,275","1,362","1,124",887,774,660,476,505,729,587,"1,318"
Other Liabilities +,181,237,256,339,329,296,308,341,680,323,269,999,545
Total Liabilities,"1,876","2,229","2,418","2,497","2,242","2,062","2,112","2,416","2,788","2,562","2,791","3,454","3,943"
Fixed Assets +,564,843,926,"1,221","1,228","1,180","1,174","1,178","1,170","1,475","1,468","1,546","1,519"
CWIP,317,272,319,59,14,31,13,22,133,158,160,77,86
Investments,261,226,112,168,23,53,87,273,179,47,66,113,149
Other Assets +,733,887,"1,061","1,048",977,798,838,943,"1,305",882,"1,098","1,718","2,189"
Total Assets,"1,876","2,229","2,418","2,497","2,242","2,062","2,112","2,416","2,788","2,562","2,791","3,454","3,943"
