,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,32.83,32.34,33.81,35.28,44.40,44.07,44.27,66.62,77.88
Expenses +,33.30,30.24,30.20,30.49,40.65,40.55,39.71,61.50,73.34
Operating Profit,-0.47,2.10,3.61,4.79,3.75,3.52,4.56,5.12,4.54
OPM %,-1.43%,6.49%,10.68%,13.58%,8.45%,7.99%,10.30%,7.69%,5.83%
Other Income +,2.03,0.09,0.35,0.98,0.57,1.00,2.15,1.37,1.17
Interest,0.79,0.68,0.67,0.52,0.23,0.09,0.08,0.15,0.02
Depreciation,0.27,0.21,0.18,0.14,0.13,0.14,0.18,0.25,0.29
Profit before tax,0.50,1.30,3.11,5.11,3.96,4.29,6.45,6.09,5.40
Tax %,32.00%,34.62%,32.80%,22.31%,28.03%,33.33%,25.89%,30.05%,
Net Profit,0.34,0.85,2.09,3.98,2.82,2.84,4.77,4.26,3.86
EPS in Rs,2.27,5.62,13.84,3.89,2.75,2.77,4.62,4.13,3.75
