,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,116,114,91,124,133,87,121
Expenses +,99,106,80,105,116,87,107
Operating Profit,17,7,11,19,18,1,14
OPM %,15%,7%,12%,15%,13%,1%,12%
Other Income +,-0,0,0,1,1,2,1
Interest,3,3,1,2,1,0,1
Depreciation,5,3,2,2,3,2,2
Profit before tax,9,2,8,16,15,-0,13
Tax %,40%,33%,33%,35%,29%,67%,
Net Profit,8,6,12,16,17,2,15
EPS in Rs,159.60,0.29,0.52,0.72,0.75,0.08,0.66
