,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,16,16
Reserves,364,687,790,"1,013","1,127"
Borrowings +,0,71,62,65,67
Other Liabilities +,132,282,396,581,698
Total Liabilities,508,"1,052","1,260","1,674","1,908"
Fixed Assets +,60,228,243,282,301
CWIP,3,9,46,34,20
Investments,103,0,0,0,0
Other Assets +,342,816,970,"1,358","1,587"
Total Assets,508,"1,052","1,260","1,674","1,908"
