,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,13,13,13,13,13,13,13,13
Reserves,348,393,435,438,495,553,652,707,630,548,615,654,733
Borrowings +,10,-0,-0,-0,-0,0,1,29,26,28,29,29,30
Other Liabilities +,15,21,20,19,21,18,13,16,21,22,15,15,14
Total Liabilities,386,426,467,470,529,584,678,765,689,611,671,710,790
Fixed Assets +,127,129,127,135,135,68,137,135,133,136,135,133,134
CWIP,1,3,5,9,9,10,10,11,13,14,15,15,15
Investments,241,257,295,285,352,431,451,526,444,348,422,482,558
Other Assets +,17,37,39,40,32,75,81,92,99,113,100,80,82
Total Assets,386,426,467,470,529,584,678,765,689,611,671,710,790
