,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Share Capital +,32,32,35,35,35,35,55
Reserves,24,26,62,54,45,38,109
Borrowings +,39,111,72,113,115,103,13
Other Liabilities +,15,27,37,57,67,56,40
Total Liabilities,110,195,207,258,261,232,218
Fixed Assets +,40,55,85,134,148,130,124
CWIP,7,15,30,35,13,21,13
Investments,7,5,7,1,2,0,19
Other Assets +,55,120,85,88,98,81,62
Total Assets,110,195,207,258,261,232,218
