,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,44.03,58.38,35.74,60.88,61.66,106.31,82.65
Expenses +,38.85,55.06,35.21,47.05,52.36,90.15,66.98
Operating Profit,5.18,3.32,0.53,13.83,9.30,16.16,15.67
OPM %,11.76%,5.69%,1.48%,22.72%,15.08%,15.20%,18.96%
Other Income +,2.80,3.55,4.27,2.90,2.05,1.24,1.94
Interest,0.06,0.77,0.40,8.14,8.33,8.29,8.44
Depreciation,2.39,2.52,2.36,5.78,5.40,5.32,5.44
Profit before tax,5.53,3.58,2.04,2.81,-2.38,3.79,3.73
Tax %,20.07%,21.23%,27.45%,14.95%,37.39%,60.42%,
Net Profit,2.93,-0.15,0.11,1.92,-1.49,1.49,4.88
EPS in Rs,2.42,-0.12,0.09,1.43,-1.51,0.79,2.67
